Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Boise State Broncos vs. UNLV Rebels,Feb 13 10:05PM ET,2026-02-14 05:24:33 UTC,Boise State Broncos,,2.5,2.5,-10.85,-3.0,,2.5,,,1.4,-10.7,-11.0,-10.6,-13.6,0.46751131221719455,900,900,0.09502262443438914,0.3675113122171946,0.3675113122171946,0.009,0.83,0.84,0.847444557970479,1,,155.3234012495045,62.0,,,0.9,157.0,155.0,155.616802499009,155.03,,,,,,,1,1,0,0
Boise State Broncos vs. UNLV Rebels,Feb 13 10:05PM ET,2026-02-14 05:24:33 UTC,UNLV Rebels,,-2.5,-2.5,10.85,3.0,,-2.5,,,1.4,10.7,11.0,10.6,13.6,0.5324886877828054,-1850,-2000,0.9049773755656109,-0.419892264598147,-0.419892264598147,0.009,0.17,0.16,0.152555442029521,1,,155.3234012495045,62.0,,,0.9,157.0,155.0,155.616802499009,155.03,,,,,,,1,1,0,0
Hampton Pirates vs. North Carolina A&T Aggies,Feb 13 11:13PM ET,2026-02-14 05:24:33 UTC,Hampton Pirates,1,-4.5,-4.5,-1.35,-3.0,0.4480279631408896,-4.5,-0.0868557577893429,-0.0868557577893429,1.4,-0.7,-2.0,-2.9,0.4,0.6377564102564102,-280,-280,0.6955128205128205,-0.09908569500674769,-0.09908569500674769,0.041,0.53,0.58,0.611778678294848,2,127.5,140.95344520216548,133.0,127.5,127.5,0.5,141.0,140.0,140.906890404331,141.26,0.5849246901865826,0.4150753098134174,0.05221440981275083,-0.11980841111681512,0.05221440981275083,-0.11980841111681512,1,1,1,0
Hampton Pirates vs. North Carolina A&T Aggies,Feb 13 11:13PM ET,2026-02-14 05:24:33 UTC,North Carolina A&T Aggies,1,4.5,4.5,1.35,3.0,0.5519720368591103,4.5,0.01708831592887783,0.01708831592887783,1.4,0.7,2.0,2.9,-0.4,0.3622435897435897,210,210,0.30448717948717946,0.03966294458229941,0.03966294458229941,0.041,0.47,0.42,0.388221321705152,2,127.5,140.95344520216548,133.0,127.5,127.5,0.5,141.0,140.0,140.906890404331,141.26,0.5849246901865826,0.4150753098134174,0.05221440981275083,-0.11980841111681512,0.05221440981275083,-0.11980841111681512,1,1,1,0
Vanderbilt Commodores vs. Texas A&M Aggies,Feb 14 01:00PM ET,2026-02-13 16:14:38 UTC,Texas A&M Aggies,3,6.5,6.5,8.8,7.5,0.4679574367889025,7.5,-0.04423768516231702,-0.0398437509067422,1.3,9.9,9.0,6.8,8.6,0.2489603705609882,270,245,0.27792074112197634,-0.04089470190277994,-0.0275340974853152,0.032,0.1999999999999999,0.22,0.262040202836886,2,165.5,165.753592140569,165.5,166.5,165.5,1.7,168.0,165.0,166.507184281138,164.01,0.5,0.5,-0.028301886792452824,-0.019230769230769273,-0.0315887097620138,-0.0160303378570338,1,1,0,0
Vanderbilt Commodores vs. Texas A&M Aggies,Feb 14 01:00PM ET,2026-02-13 16:14:38 UTC,Vanderbilt Commodores,3,-6.5,-6.5,-8.8,-7.5,0.5320425632110974,-7.5,-0.002841157719135068,-0.0077752967123053,1.3,-9.9,-9.0,-6.8,-8.6,0.7510396294390118,-340,-305,0.7220792588780237,-0.00204679031407462,-0.0190770187134298,0.032,0.8,0.78,0.737959797163114,2,165.5,165.753592140569,165.5,166.5,165.5,1.7,168.0,165.0,166.507184281138,164.01,0.5,0.5,-0.028301886792452824,-0.019230769230769273,-0.0315887097620138,-0.0160303378570338,1,1,0,0
New Hampshire Wildcats vs. UMBC Retrievers,Feb 14 01:00PM ET,2026-02-13 23:25:10 UTC,New Hampshire Wildcats,2,2.5,2.5,2.05,2.5,0.5,1.5,-0.023809523809523836,-0.0121951219512195,1.5,0.8,3.0,3.9,1.1,0.4089701822197681,124,124,0.42794036443953615,-0.037458389208803344,-0.0374583892088033,0.06,0.47,0.39,0.352758750887306,1,142.5,138.675,141.0,139.5,142.5,2.4,137.0,139.0,142.651462081396,138.35,0.4743624933886761,0.5256375066113239,-0.044868275842093186,-0.0026643801811289114,-0.0368529581009166,-0.0106796979223054,0,0,0,0
New Hampshire Wildcats vs. UMBC Retrievers,Feb 14 01:00PM ET,2026-02-13 23:25:10 UTC,UMBC Retrievers,2,-2.5,-2.5,-2.05,-2.5,0.5,-1.5,-0.023809523809523836,-0.0348837209302325,1.5,-0.8,-3.0,-3.9,-1.1,0.5910298177802319,-148,-148,0.5720596355604638,-0.00574437576815523,-0.0057443757681552,0.06,0.53,0.61,0.647241249112694,1,142.5,138.675,141.0,139.5,142.5,2.4,137.0,139.0,142.651462081396,138.35,0.4743624933886761,0.5256375066113239,-0.044868275842093186,-0.0026643801811289114,-0.0368529581009166,-0.0106796979223054,0,0,0,0
VMI Keydets vs. Furman Paladins,Feb 14 01:00PM ET,2026-02-13 23:25:10 UTC,VMI Keydets,3,13.0,13.0,11.45,12.5,0.5160342270972185,12.5,-0.004349465948345066,0.0046565026678311,1.3,10.9,13.0,9.9,12.0,0.1434931506849315,600,600,0.13698630136986298,0.0006360078277886649,-0.0011123397641128,0.023,0.15,0.12,0.164283625157289,3,146.0,142.85067590452252,144.5,145.5,146.0,1.9,141.0,145.0,144.021351809045,141.68,0.4699309502034306,0.5150472191818924,-0.05948081450245174,-0.0030250699747340626,-0.0388527363711027,-0.0087663112479449,0,0,0,1
The Citadel Bulldogs vs. Mercer Bears,Feb 14 01:00PM ET,2026-02-13 23:25:10 UTC,The Citadel Bulldogs,3,9.5,9.5,9.85,9.5,0.5,9.5,-0.008599508599508643,-0.0192307692307692,1.9,9.7,10.0,7.1,11.6,0.19515752341564285,360,355,0.21031504683128568,-0.02464923986938128,-0.0246492398693812,0.04,0.18,0.17,0.243565083650316,2,147.5,147.51234328056051,147.5,148.5,147.5,1.0,146.0,148.0,147.034686561121,147.99,0.5,0.5,-0.031615925058548044,-0.0157384987893463,-0.0199743079037095,-0.0271045349777425,0,0,0,0
